FR,GB
sandwich,sandwich
sablonneux,sandy
a chanté,sang
Père Noël,santa
Sara,sara
Sarah,sarah
sarge,sarge
assis,sat
Satan,satan
Satellite,satellite
satisfait,satisfied
samedi,saturday
sauce,sauce
enregistrer,save
enregistré,saved
économie,saving
vu,saw
dire,say
en disant,saying
dit,says
échelle,scale
analyse,scan
scandale,scandal
cicatrice,scar
effrayer,scare
effrayé,scared
angoissant,scary
scène,scene
scènes,scenes
programme,schedule
école,school
écoles,schools
la science,science
scientifique,scientific
scientifique,scientist
scientifiques,scientists
se moquer de,scoffs
score,score
scotch,scotch
Écosse,scotland
Scott,scott
scout,scout
se gratter,scratch
pousser un cri,scream
en hurlant,screaming
cris,screams
crispade,screeching
filtrer,screen
vis,screw
vissé,screwed
scénario,script
écume,scum
mer,sea
sceller,seal
scellé,sealed
Sean,sean
chercher,search
cherché,searched
recherche,searching
saison,season
siège,seat
des places,seats
Sébastien,sebastian
seconde,sec
deuxième,second
secondes,seconds
secret,secret
secrétaire,secretary
secrets,secrets
section,section
sécurisé,secure
Sécurité,security
voir,see
voyant,seeing
chercher,seek
sembler,seem
semblant,seemed
semble,seems
vu,seen
voir,sees
soi,self
égoïste,selfish
vendre,sell
vente,selling
sénateur,senator
envoyer,send
Envoi en cours,sending
envoi,sends
Sénior,senior
sens,sense
sens,senses
sensible,sensitive
expédié,sent
phrase,sentence
séparé,separate
séparé,separated
septembre,september
sergent,sergeant
en série,serial
série,series
sérieuse,serious
sérieusement,seriously
serviteur,servant
domestiques,servants
servez,serve
servi,served
service,service
prestations de service,services
portion,serving
session,session
Positionner,set
Seth,seth
sets,sets
paramètre,setting
régler,settle
colonisé,settled
Sept,seven
plusieurs,several
sévère,severe
sexe,sex
sexuel,sexual
sexy,sexy
ombre,shadow
ombres,shadows
secouer,shake
tremblement,shaking
devoir,shall
la honte,shame
shane,shane
forme,shape
partager,share
partagé,shared
partage,sharing
requin,shark
tranchant,sharp
raser,shave
minet,shawn
elle,she
hangar,shed
mouton,sheep
feuille,sheet
des draps,sheets
coquille,shell
abri,shelter
shérif,sheriff
shh,shh
bouclier,shield
décalage,shift
briller,shine
brillant,shining
bateau,ship
navires,ships
chemise,shirt
merde,shit
merdique,shitty
choc,shock
sous le choc,shocked
chaussure,shoe
des chaussures,shoes
tirer,shoot
tireur,shooter
tournage,shooting
magasin,shop
achats,shopping
rive,shore
court,short
prochainement,shortly
tir,shot
coups,shots
devrait,should
épaule,shoulder
épaules,shoulders
ne devrait pas,shouldn
cri,shout
en criant,shouting
des cris,shouts
pousser,shove
Afficher,show
montré,showed
douche,shower
projection,showing
indiqué,shown
spectacles,shows
fermer,shut
timide,shy
si,si
malade,sick
sid,sid
côté,side
côtés,sides
soupirs,sighing
soupirer,sighs
vue,sight
pancarte,sign
signal,signal
Signature,signature
signé,signed
important,significant
signature,signing
panneaux,signs
le silence,silence
silencieux,silent
soie,silk
idiot,silly
argent,silver
similaire,similar
Simon,simon
Facile,simple
simplement,simply
péché,sin
puisque,since
chanter,sing
chanteuse,singer
chant,singh
en chantant,singing
Célibataire,single
chanter,sings
évier,sink
péchés capitaux,sins
Monsieur,sir
sire,sire
sirène,siren
sirènes,sirens
soeur,sis
sœur,sister
sœurs,sisters
asseoir,sit
placer,site
se trouve,sits
séance,sitting
situation,situation
six,six
sixième,sixth
Taille,size
compétence,skill
compétences,skills
peau,skin
mince,skinny
sauter,skip
jupe,skirt
crâne,skull
ciel,sky
gifler,slap
trimer,slave
des esclaves,slaves
dormir,sleep
en train de dormir,sleeping
dormi,slept
faire glisser,slide
léger,slight
légèrement,slightly
caleçon,slip
glissé,slipped
lent,slow
tout doucement,slowly
salope,slut
petit,small
plus petit,smaller
intelligent,smart
plus intelligent,smarter
fracasser,smash
sentir,smell
odorce,smells
le sourire,smile
souriant,smiling
forgeron,smith
fumée,smoke
fumeur,smoking
lisse,smooth
serpent,snake
instantané,snap
se faufiler,sneak
neiger,snow
alors,so
soi-disant,so-called
du savon,soap
sanglot,sobbing
sobre,sober
football,soccer
social,social
société,society
chaussettes,socks
un soda,soda
"mou, tendre",soft
doucement,softly
sol,soil
solaire,solar
vendu,sold
soldat,soldier
soldats,soldiers
solide,solid
solo,solo
la solution,solution
résoudre,solve
résolu,solved
quelques,some
quelqu'un,somebody
un jour,someday
en quelque sorte,somehow
quelqu'un,someone
quelque part,someplace
quelque chose,somethin
quelque chose,something
parfois,sometime
quelquefois,sometimes
quelque peu,somewhat
quelque part,somewhere
fils,son
chanson,song
Chansons,songs
sonique,sonic
fiston,sonny
fils,sons
bientôt,soon
plus tôt,sooner
Sophie,sophie
endolori,sore
tristesse,sorrow
Pardon,sorry
trier,sort
sorte,sorts
âme,soul
âme,souls
du son,sound
sonore,sounded
des sons,sounds
le potage,soup
la source,source
sud,south
du sud,southern
soviétique,soviet
espace,space
Espagne,spain
Espagnol,spanish
de rechange,spare
parler,speak
conférencier,speaker
Parlant,speaking
parler,speaks
spécial,special
espèces,species
spécifique,specific
Plus précisément,specifically
parole,speech
la rapidité,speed
sort,spell
Spencer,spencer
dépenser,spend
dépenses,spending
dépensé,spent
araignée,spider
pic,spike
tournoyer,spin
esprit,spirit
esprits,spirits
spirituel,spiritual
cracher,spit
splendide,splendid
diviser,split
gâcher,spoil
parlait,spoke
parlé,spoken
sport,sport
des sports,sports
endroit,spot
spots,spots
Pointé,spotted
se propager,spread
le printemps,spring
espionner,spy
équipe,squad
carré,square
presser,squeeze
St,st
St.,st.
coup de couteau,stab
poignardé,stabbed
écurie,stable
Personnel,staff
organiser,stage
escaliers,stairs
pieu,stake
stan,stan
supporter,stand
la norme,standard
debout,standing
des stands,stands
Stanley,stanley
étoile,star
regard,stare
en regardant,staring
étoiles,stars
début,start
a débuté,started
départ,starting
départs,starts
affamée,starving
Etat,state
déclaration,statement
États,states
station,station
stations,stations
statue,statue
statut,status
rester,stay
séjourné,stayed
séjour,staying
séjour,stays
constant,steady
bifteck,steak
voler,steal
vol,stealing
vapeur,steam
acier,steel
marcher,step
Stephen,stephen
pas,stepped
pas,steps
Steve,steve
Steven,steven
coller,stick
collage,sticking
des bâtons,sticks
toujours,still
puer,stink
puant,stinks
Stock,stock
a volé,stole
volé,stolen
estomac,stomach
pierre,stone
des pierres,stones
se trouvait,stood
arrêt,stop
arrêté,stopped
arrêt,stopping
arrêts,stops
stockage,storage
boutique,store
histoires,stories
tempête,storm
histoire,story
droit,straight
étrange,strange
étranger,stranger
étrangers,strangers
stratégie,strategy
rue,street
des rues,streets
force,strength
stresser,stress
extensible,stretch
la grève,strike
grèves,strikes
chaîne de caractères,string
déshabiller,strip
accident vasculaire cérébral,stroke
fort,strong
plus forte,stronger
frappé,struck
structure,structure
lutter,struggle
luttant,struggling
Stuart,stuart
tête de mule,stubborn
bloqué,stuck
étudiant,student
étudiants,students
étudié,studied
études,studies
studio,studio
étude,study
en train d'étudier,studying
des trucs,stuff
farci,stuffed
stupide,stupid
style,style
matière,subject
Les sous-titres,subtitles
réussir,succeed
Succès,success
couronné de succès,successful
tel,such
sucer,suck
ventouse,sucker
suce,sucks
soudain,sudden
soudain,suddenly
poursuivre en justice,sue
souffrir,suffer
souffert,suffered
Souffrance,suffering
du sucre,sugar
suggérer,suggest
suggéré,suggested
suggérant,suggesting
suicide,suicide
costume,suit
valise,suitcase
suite,suite
combinaisons,suits
somme,sum
été,summer
Soleil,sun
dimanche,sunday
ensoleillé,sunny
ensoleillement,sunshine
super,super
supérieur,superior
Superman,superman
souper,supper
Provisions,supplies
la fourniture,supply
Support,support
supposer,suppose
censé,supposed
suprême,supreme
Bien sur,sure
sûrement,surely
surface,surface
chirurgien,surgeon
opération,surgery
surprendre,surprise
surpris,surprised
surprises,surprises
surprenant,surprising
abandon,surrender
entouré,surrounded
surveillance,surveillance
survie,survival
survivre,survive
Survécu,survived
Susan,susan
suspect,suspect
soupçonné,suspected
suspects,suspects
suspendu,suspended
méfiant,suspicious
avaler,swallow
jurer,swear
sueur,sweat
balayer,sweep
sucré,sweet
amoureux,sweetheart
ma chérie,sweetie
gonfler,swell
baignade,swim
natation,swimming
se balancer,swing
changer,switch
épée,sword
Sydney,sydney
symbole,symbol
les symptômes,symptoms
synchronisation,sync
système,system
systèmes,systems
t,t
t-,t-
table,table
les tables,tables
étiquette,tag
queue,tail
prendre,take
pris,taken
prendre des prises,takes
prise,taking
conte,tale
Talent,talent
talentueux,talented
parler,talk
a parlé,talked
parler,talkin
en parlant,talking
pourparlers,talks
haut,tall
Char,tank
robinet,tap
ruban,tape
cassettes,tapes
Tara,tara
cible,target
tâche,task
goûter,taste
goûts,tastes
tatouage,tattoo
a enseigné,taught
impôt,tax
taxes,taxes
Taxi,taxi
taylor,taylor
thé,tea
apprendre,teach
prof,teacher
enseignants,teachers
enseignement,teaching
équipe,team
équipes,teams
larme,tear
larmes,tears
technologie,tech
techniquement,technically
technique,technique
La technologie,technology
ted,ted
en peluche,teddy
adolescent,teenage
les dents,teeth
Téléphone,telephone
télévision,television
raconter,tell
récit,telling
raconte,tells
caractère,temper
Température,temperature
temple,temple
temporaire,temporary
Dix,ten
tendre,tend
offre,tender
tennis,tennis
tendu,tense
tension,tension
tente,tent
terme,term
termes,terms
terrible,terrible
terriblement,terribly
formidable,terrific
terrifié,terrified
territoire,territory
la terreur,terror
terroriste,terrorist
les terroristes,terrorists
gâchis,terry
test,test
testé,tested
témoigner,testify
témoignage,testimony
essai,testing
tests,tests
Texas,texas
texte,text
que,than
remercier,thank
Merci,thanks
action de grâces,thanksgiving
ce,that
la,the
la,the
théâtre,theater
théâtre,theatre
te,thee
vol,theft
leur,their
leur,them
thème,theme
eux-mêmes,themselves
alors,then
la théorie,theory
thérapie,therapy
là,there
Donc,therefore
ces,these
elles ou ils,they
épais,thick
voleur,thief
voleurs,thieves
mince,thin
chose,thing
des choses,things
pense,think
en pensant,thinking
pense,thinks
troisième,third
assoiffé,thirsty
trente,thirty
cette,this
Thomas,thomas
ceux,those
tu,thou
pourtant,though
pensait,thought
les pensées,thoughts
mille,thousand
milliers,thousands
menace,threat
menacer,threaten
menacé,threatened
menaçant,threatening
des menaces,threats
Trois,three
jeta,threw
gorge,throat
trône,throne
à travers,through
à travers,throughout
jeter,throw
lancement,throwing
jeté,thrown
tonnerre,thunder
jeudi,thursday
Donc,thus
tes,thy
billet,ticket
des billets,tickets
cravate,tie
lié,tied
cravates,ties
tigre,tiger
serré,tight
jusqu'à,till
Tim,tim
temps,time
fois,times
Horaire,timing
étain,tin
Tina,tina
minuscule,tiny
pointe,tip
pneu,tire
fatigué,tired
pneus,tires
tissu,tissue
Titre,title
seins,tits
à,to
pain grillé,toast
toby,toby
aujourd'hui,today
todd,todd
orteils,toes
ensemble,together
toilette,toilet
Tokyo,tokyo
Raconté,told
à M,tom
tommy,tommy
demain,tomorrow
tonne,ton
Ton,tone
langue,tongue
ce soir,tonight
tonnes,tons
Tony,tony
aussi,too
ont pris,took
outil,tool
outils,tools
dent,tooth
Haut,top
déchiré,torn
torture,torture
lancer,toss
total,total
totalement,totally
toucher,touch
touché,touched
émouvant,touching
dure,tough
tour,tour
vers,toward
envers,towards
serviette,towel
la tour,tower
ville,town
jouet,toy
jouets,toys
trace,trace
Piste,track
suivi,tracking
des pistes,tracks
tracy,tracy
Commerce,trade
tradition,tradition
traditionnel,traditional
Circulation,traffic
la tragédie,tragedy
tragique,tragic
Piste,trail
bande annonce,trailer
former,train
qualifié,trained
entraînement,training
traitre,traitor
transférer,transfer
transféré,transferred
le transport,transport
piège,trap
piégé,trapped
déchets,trash
traumatisme,trauma
voyager,travel
en voyageant,traveling
travis,travis
trésor,treasure
traiter,treat
traité,treated
traitement,treating
traitement,treatment
arbre,tree
des arbres,trees
Trevor,trevor
essai,trial
tribu,tribe
tour,trick
des trucs,tricks
a essayé,tried
essais,tries
gâchette,trigger
voyage,trip
troupes,troops
difficulté,trouble
troubles,troubles
troy,troy
un camion,truck
vraiment,truly
tronc,trunk
confiance,trust
de confiance,trusted
vérité,truth
essayer,try
en essayant,trying
baignoire,tub
tube,tube
mardi,tuesday
régler,tune
tunnel,tunnel
dinde,turkey
tour,turn
tourné,turned
tourneur,turner
tournant,turning
se tourne,turns
tortue,turtle
la télé,tv
Douze,twelve
vingt,twenty
deux fois,twice
double,twin
des jumeaux,twins
tourner,twist
tordu,twisted
deux,two
Tyler,tyler
taper,type
les types,types
typique,typical
u,u
nous.,u.s.
Pouah,ugh
moche,ugly
euh,uh
euh-,uh-
Uh-huh,uh-huh
Uh-oh,uh-oh
uh-uh,uh-uh
euh,uhh
ultime,ultimate
um,um
ONU,un
incapable,unable
incroyable,unbelievable
oncle,uncle
inconfortable,uncomfortable
inconscient,unconscious
en dessous de,under
à l'abri,undercover
clandestinement,underground
sous,underneath
comprendre,understand
entente,understanding
comprendre,understands
entendu,understood
sous-vêtement,underwear
inattendu,unexpected
injuste,unfair
malheureux,unfortunate
malheureusement,unfortunately
malheureux,unhappy
uniforme,uniform
syndicat,union
unique,unique
unité,unit
uni,united
unités,units
univers,universe
université,university
inconnue,unknown
sauf si,unless
contrairement à,unlike
jusqu'à,until
inhabituel,unusual
en haut,up
sur,upon
plus haut,upper
bouleversé,upset
avantage,upside
en haut,upstairs
urgent,urgent
nous,us
utilisation,use
utilisé,used
utile,useful
inutile,useless
les usages,uses
utilisant,using
habituel,usual
d'habitude,usually
vacances,vacation
Valentin,valentine
vallée,valley
de valeur,valuable
évaluer,value
vampire,vampire
van,van
vanessa,vanessa
divers,various
vaste,vast
sauter,vault
ve,ve
Vegas,vegas
véhicule,vehicle
version,version
très,very
navire,vessel
vic,vic
vice,vice
victime,victim
victimes,victims
Victor,victor
victoria,victoria
la victoire,victory
vidéo,video
Vietnam,vietnam
voir,view
villa,villa
village,village
Vince,vince
Vincent,vincent
la violence,violence
violent,violent
vierge,virgin
Virginie,virginia
virus,virus
vision,vision
visite,visit
a visité,visited
en visite,visiting
visiteur,visitor
visuel,visual
vital,vital
Vodka,vodka
voix,voice
voix,voices
bénévole,volunteer
von,von
voter,vote
voté,voted
votes,votes
vulnérable,vulnerable
w,w
patauger,wade
wagon,wagon
pleurs,wailing
Attendez,wait
attendu,waited
serveur,waiter
attendre,waiting
se réveiller,wake
marche,walk
marcher,walked
marcheur,walker
en marchant,walking
des promenades,walks
mur,wall
porte monnaie,wallet
des murs,walls
walt,walt
Walter,walter
voulez,wanna
vouloir,want
recherché,wanted
manquant,wanting
veut,wants
guerre,war
quartier,ward
directeur,warden
entrepôt,warehouse
chaleureuse,warm
prévenir,warn
averti,warned
Attention,warning
garantir,warrant
garenne,warren
guerrier,warrior
guerres,wars
a été,was
lavage,wash
lavé,washed
la lessive,washing
Washington,washington
Wasn,wasn
déchets,waste
gaspillé,wasted
gaspillage,wasting
Regardez,watch
regardé,watched
en train de regarder,watching
l'eau,water
eaux,waters
Watson,watson
vague,wave
vagues,waves
façon,way
Wayne,wayne
façons,ways
nous,we
faible,weak
la faiblesse,weakness
richesse,wealth
arme,weapon
armes,weapons
usure,wear
portant,wearing
s'arrêter,wears
Météo,weather
la toile,web
mariage,wedding
mercredi,wednesday
pipi,wee
mauvaise herbe,weed
la semaine,week
fin de semaine,weekend
semaines,weeks
lester,weight
bizarre,weird
accueillir,welcome
bien,well
wendy,wendy
est allé,went
étaient,were
weren,weren
Ouest,west
occidental,western
humide,wet
qui,wha
baleine,whale
Quel,what
peu importe,whatever
la roue,wheel
roues,wheels
lorsque,when
chaque fois que,whenever
où,where
partout où,wherever
qu'il s'agisse,whether
qui,which
tandis que,while
gémissements,whimpering
fouet,whip
tourbillon,whirring
whisky,whiskey
chuchotement,whispering
chuchotement,whispers
siffler,whistle
siffle,whistles
sifflement,whistling
blanche,white
qui,who
whoa,whoa
quiconque,whoever
ensemble,whole
qui,whom
whoo,whoo
putain,whore
à qui,whose
Pourquoi,why
méchant,wicked
large,wide
veuve,widow
épouse,wife
sauvage,wild
sera,will
William,william
Williams,williams
Willie,willie
prêt,willing
Wilson,wilson
gagner,win
vent,wind
la fenêtre,window
les fenêtres,windows
vin,wine
aile,wing
ailes,wings
gagnant,winner
gagnant,winning
victoires,wins
l'hiver,winter
essuyer,wipe
essuyé,wiped
fil,wire
sagesse,wisdom
sage,wise
souhaiter,wish
souhaité,wished
vœux,wishes
sorcière,witch
avec,with
dans,within
sans pour autant,without
témoin,witness
les témoins,witnesses
épouses,wives
réveillé,woke
loup,wolf
loups,wolves
femme,woman
femmes,women
a gagné,won
merveille,wonder
demandé,wondered
magnifique,wonderful
se demandant,wondering
courtiser,woo
bois,wood
les bois,woods
mot,word
mots,words
portait,wore
travailler,work
travaillé,worked
ouvrier,worker
ouvriers,workers
travail,working
œuvres,works
monde,world
monde,worlds
porté,worn
préoccupé,worried
des soucis,worries
inquiétude,worry
inquiétant,worrying
pire,worse
pire,worst
la peine,worth
sans valeur,worthless
digne,worthy
aurait,would
ne,wouldn
plaie,wound
blessés,wounded
blessures,wounds
wow,wow
envelopper,wrap
enveloppé,wrapped
détruire,wreck
écrivez,write
écrivain,writer
l'écriture,writing
écrit,written
mauvais,wrong
a écrit,wrote
X,x
y,y
ya,ya
yang,yang
cour,yard
verges,yards
Yay,yay
vous,ye
Oui,yeah
an,year
années,years
crier,yell
cris,yelling
jaune,yellow
cris,yells
yen,yen
ouais,yep
oui,yes
hier,yesterday
encore,yet
toi,yo
York,york
tu,you
tu,you
tu-,you-
Jeune,young
plus jeune,younger
ton,your
le tiens,yours
toi-même,yourself
vous-mêmes,yourselves
jeunesse,youth
ouais,yup
zéro,zero
zoe,zoe
zone,zone
zoo,zoo
FAUX,FALSE
vrai,TRUE
Benny,benny
Adam,adam
pendant la nuit,overnight
